Tahun,Produksi (ton),Kategori,Harga Beras (Rp/Kg),Harga Gabah (Rp/Kg)
2021,1600449.83,Beras Kualitas Bawah I,9937.5,5118.505
2021,1600449.83,Beras Kualitas Bawah Ii,9562.5,5118.505
2021,1600449.83,Beras Kualitas Medium I,10891.666666666666,5118.505
2021,1600449.83,Beras Kualitas Medium Ii,10620.833333333334,5118.505
2021,1600449.83,Beras Kualitas Super I,12108.333333333334,5118.505
2021,1600449.83,Beras Kualitas Super Ii,11654.166666666668,5118.505
2022,1564314.2242857143,Beras Kualitas Bawah I,8987.499999999998,5549.825
2022,1564314.2242857143,Beras Kualitas Bawah Ii,7933.333333333334,5549.825
2022,1564314.2242857143,Beras Kualitas Medium I,9879.166666666666,5549.825
2022,1564314.2242857143,Beras Kualitas Medium Ii,8816.666666666666,5549.825
2022,1564314.2242857143,Beras Kualitas Super I,10929.166666666668,5549.825
2022,1564314.2242857143,Beras Kualitas Super Ii,9633.333333333332,5549.825
2023,1384179.9023076922,Beras Kualitas Bawah I,12479.166666666666,6819.74
2023,1384179.9023076922,Beras Kualitas Bawah Ii,12208.333333333334,6819.74
2023,1384179.9023076922,Beras Kualitas Medium I,13637.5,6819.74
2023,1384179.9023076922,Beras Kualitas Medium Ii,13387.5,6819.74
2023,1384179.9023076922,Beras Kualitas Super I,14916.666666666666,6819.74
2023,1384179.9023076922,Beras Kualitas Super Ii,14416.666666666666,6819.74
2024,1362685.914102564,Beras Kualitas Bawah I,14125.0,7406.219999999999
2024,1362685.914102564,Beras Kualitas Bawah Ii,13866.666666666668,7406.219999999999
2024,1362685.914102564,Beras Kualitas Medium I,15404.166666666668,7406.219999999999
2024,1362685.914102564,Beras Kualitas Medium Ii,15245.833333333332,7406.219999999999
2024,1362685.914102564,Beras Kualitas Super I,16737.5,7406.219999999999
2024,1362685.914102564,Beras Kualitas Super Ii,16245.833333333334,7406.219999999999
