Tahun,Kategori,Margin Absolut (Rp/Kg),Margin Persentase (%)
2021,Beras Kualitas Bawah I,4818.995,94.14848671633611
2021,Beras Kualitas Bawah Ii,4443.995,86.82212872704042
2021,Beras Kualitas Medium I,5773.161666666666,112.78999760021071
2021,Beras Kualitas Medium Ii,5502.328333333334,107.49873905238607
2021,Beras Kualitas Super I,6989.828333333334,136.55995907659235
2021,Beras Kualitas Super Ii,6535.661666666668,127.6869255117787
2022,Beras Kualitas Bawah I,3437.6749999999984,61.9420432175789
2022,Beras Kualitas Bawah Ii,2383.508333333334,42.94745029497929
2022,Beras Kualitas Medium I,4329.341666666666,78.00861588728773
2022,Beras Kualitas Medium Ii,3266.8416666666662,58.863868079924444
2022,Beras Kualitas Super I,5379.341666666668,96.92813136750561
2022,Beras Kualitas Super Ii,4083.5083333333323,73.57904678676053
2023,Beras Kualitas Bawah I,5659.426666666666,82.98595938652598
2023,Beras Kualitas Bawah Ii,5388.593333333334,79.01464474207718
2023,Beras Kualitas Medium I,6817.76,99.97096663509166
2023,Beras Kualitas Medium Ii,6567.76,96.30513773252353
2023,Beras Kualitas Super I,8096.926666666666,118.72779118656527
2023,Beras Kualitas Super Ii,7596.926666666666,111.396133381429
2024,Beras Kualitas Bawah I,6718.780000000001,90.71807210695876
2024,Beras Kualitas Bawah Ii,6460.4466666666685,87.23001297107929
2024,Beras Kualitas Medium I,7997.9466666666685,107.98959073139427
2024,Beras Kualitas Medium Ii,7839.613333333333,105.85174803521005
2024,Beras Kualitas Super I,9331.28,125.99247659399803
2024,Beras Kualitas Super Ii,8839.613333333335,119.35391243216291
